Robots 10
-36.096530 11.443535 1.553130
-26.935639 19.668933 2.500000
-34.890148 35.563282 -0.141734
-22.353748 3.605325 2.500000
34.540402 -4.256246 3.183376
19.051367 5.651604 2.500000
36.365937 9.706260 -1.493122
8.254197 3.826747 2.500000
32.083861 -36.278831 3.073857
13.555010 -28.957481 2.500000
35.713428 -12.275956 3.118328
0.029275 -36.241913 2.500000
6.057206 36.237322 3.030916
-3.991433 17.662986 2.500000
3.791061 21.177193 1.611350
27.953103 36.260525 2.500000
-30.802521 -27.768661 0.104051
-12.110869 -6.701739 2.500000
-12.303726 -22.526344 3.040049
-34.998807 -12.543185 2.500000
