Robots 10
-36.359900 11.981072 1.671294
-26.877841 21.004201 2.500000
-35.074104 36.059645 -0.053289
-23.558257 3.570250 2.500000
33.532959 -3.894369 2.933142
19.637950 5.209271 2.500000
36.254620 8.999524 -1.685102
8.203505 4.367376 2.500000
31.394286 -35.934562 2.992947
14.019815 -28.817190 2.500000
35.804470 -12.222812 3.165022
0.297024 -35.887287 2.500000
6.962750 36.338947 3.171215
-4.133812 17.819744 2.500000
3.511355 20.734117 1.637807
28.669135 35.814624 2.500000
-31.118533 -27.920972 0.022549
-11.837785 -6.784396 2.500000
-12.247788 -22.479638 3.176422
-36.052146 -12.494236 2.500000
