Robots 10
-36.400430 11.680845 1.649141
-26.419338 20.104040 2.500000
-35.383554 35.896888 0.148747
-23.630855 3.440545 2.500000
33.135398 -3.584361 3.110806
18.075316 4.891322 2.500000
36.165176 9.115792 -1.579461
7.916846 3.883995 2.500000
31.951067 -35.690628 3.107400
13.670516 -28.255781 2.500000
35.784956 -12.163206 3.090178
0.648864 -36.345017 2.500000
5.931473 36.122462 3.137849
-3.871948 17.299437 2.500000
4.324013 20.422078 1.579866
28.719232 35.771681 2.500000
-31.641730 -27.894746 -0.062586
-11.914517 -6.244812 2.500000
-11.905553 -23.086576 3.089502
-34.732209 -11.901157 2.500000
