Robots 10
-36.306271 10.693562 1.407698
-25.872190 19.745580 2.500000
-35.440747 34.993410 0.108014
-22.845849 3.988743 2.500000
34.109775 -4.194195 3.161117
19.521272 5.266629 2.500000
36.234292 10.116180 -1.555007
8.843534 3.874110 2.500000
32.082145 -36.222673 3.162196
14.145811 -28.039483 2.500000
35.280089 -11.896191 3.112721
-0.089347 -36.649402 2.500000
5.678415 36.137628 3.186719
-4.243552 18.926099 2.500000
4.317937 20.814697 1.617674
28.923312 35.388087 2.500000
-31.333589 -27.771976 -0.000381
-11.540584 -6.341954 2.500000
-12.390896 -22.925452 2.827741
-34.896068 -11.774297 2.500000
