Robots 10
-36.334629 10.588035 1.497047
-26.318802 19.320357 2.500000
-35.045258 35.736429 -0.186594
-23.483001 3.352972 2.500000
33.773338 -4.313168 3.129834
19.073988 4.593070 2.500000
36.252100 9.248631 -1.636038
7.249895 3.873700 2.500000
31.621867 -35.735284 2.916394
13.470281 -28.420349 2.500000
34.926697 -11.983022 3.195511
0.210414 -36.065933 2.500000
5.147521 36.226357 2.944544
-4.181158 18.219614 2.500000
3.714953 20.875578 1.401344
28.116212 36.034384 2.500000
-31.349959 -27.954279 -0.107010
-11.728655 -7.564990 2.500000
-12.345949 -22.247540 2.867448
-35.031184 -12.447996 2.500000
