Robots 10
-36.362593 11.917070 1.401436
-26.303229 20.908253 2.500000
-35.308223 36.222716 -0.017498
-22.373864 3.697448 2.500000
33.351822 -3.544284 3.009682
19.775313 4.895944 2.500000
36.314958 10.286666 -1.570091
8.701105 2.989869 2.500000
31.359863 -36.142422 3.029078
14.509959 -28.376647 2.500000
36.022086 -12.189496 3.141157
0.253054 -35.930944 2.500000
6.555482 36.434772 2.978358
-4.064214 19.074875 2.500000
4.220349 21.371996 1.450220
28.702157 36.053919 2.500000
-32.446340 -27.994118 -0.134559
-12.004211 -7.390324 2.500000
-12.286537 -22.431510 3.040343
-34.996113 -12.736148 2.500000
