Robots 10
-36.345975 11.871607 1.663934
-27.247760 19.824923 2.500000
-35.309664 36.104797 -0.039579
-22.946170 3.371554 2.500000
33.855974 -3.821669 2.896966
19.438632 5.794984 2.500000
36.475955 9.558726 -1.522140
7.240616 3.436413 2.500000
31.026938 -36.510817 3.115623
13.310593 -27.554374 2.500000
35.751179 -11.688503 3.171650
-1.117985 -36.908016 2.500000
6.361201 36.335938 3.085305
-4.908019 17.617050 2.500000
4.256913 20.917428 1.459757
28.300121 36.744109 2.500000
-31.821898 -27.925947 -0.064995
-11.556661 -7.131184 2.500000
-11.858209 -22.461515 3.145833
-35.776027 -12.456899 2.500000
