Robots 10
-36.103641 11.945602 1.617860
-27.075265 19.473055 2.500000
-35.131037 35.836449 -0.175411
-22.709760 3.834268 2.500000
33.461533 -3.732125 3.074791
19.284574 4.477048 2.500000
36.351848 9.925041 -1.541081
8.218051 3.461485 2.500000
31.708402 -35.927858 2.814337
13.503359 -27.902957 2.500000
35.069923 -11.909644 3.087062
-0.470151 -36.942472 2.500000
6.862770 36.416566 3.091747
-4.301779 18.869750 2.500000
3.954383 20.925401 1.409135
28.735837 35.256858 2.500000
-31.474127 -28.190532 -0.160950
-11.543014 -6.514044 2.500000
-12.277504 -22.603289 3.013234
-35.036460 -11.900541 2.500000
