Robots 10
-36.253931 10.638310 1.544182
-26.188734 19.905714 2.500000
-35.595575 35.307052 0.095630
-22.339086 3.115418 2.500000
34.381767 -3.760360 3.082281
18.746140 4.525643 2.500000
36.358735 9.620767 -1.578833
8.578205 3.252644 2.500000
30.922879 -35.947426 2.954945
14.687539 -28.115411 2.500000
35.525439 -11.915523 3.087384
-0.520354 -36.230488 2.500000
6.832689 36.450217 3.113517
-4.025953 18.392745 2.500000
4.094641 21.150259 1.327009
27.726011 36.590383 2.500000
-32.414610 -28.026598 -0.082590
-10.800043 -7.551677 2.500000
-12.560824 -22.074868 2.892704
-35.082155 -11.616284 2.500000
