Robots 10
-36.262009 10.713235 1.464783
-25.915070 19.791110 2.500000
-34.816425 35.685173 0.180085
-23.058512 2.427310 2.500000
33.606707 -4.052294 2.828255
19.040571 4.543851 2.500000
36.131142 10.049216 -1.570334
7.295365 3.683893 2.500000
31.578391 -35.773490 2.845036
14.031968 -27.572278 2.500000
35.124827 -11.876279 3.194400
0.125605 -35.868361 2.500000
6.691529 36.588394 3.085336
-4.207562 18.978454 2.500000
3.750994 20.888866 1.575773
28.556179 36.790805 2.500000
-32.538461 -28.120723 0.009136
-11.458222 -6.703940 2.500000
-11.976034 -21.772517 2.839177
-36.187555 -12.116835 2.500000
