Robots 10
-57.918833 -40.929266 0.021067
-13.142872 34.473314 2.500000
-39.303407 37.766488 0.102820
-14.778230 -51.630963 2.500000
34.647617 -48.154193 0.137391
33.778666 32.012756 2.500000
-11.618869 -38.195382 -0.096627
34.599356 -10.029638 2.500000
-54.712149 -0.664046 0.047477
16.717754 -9.289526 2.500000
55.984447 -45.857899 3.116226
-9.376057 -21.532832 2.500000
9.451000 37.934364 -1.428358
57.443296 -7.211222 2.500000
-15.442610 7.984958 -0.017637
-50.690668 -22.174913 2.500000
55.683852 32.412499 1.707578
-20.380758 14.392419 2.500000
25.862231 40.372316 3.105157
12.903897 -42.803284 2.500000
