Robots 10
-57.870995 -41.564193 0.020547
-11.689341 35.210952 2.500000
-39.738810 39.111542 -0.168101
-13.985807 -51.643160 2.500000
35.726719 -48.670615 -0.088457
33.712626 31.938585 2.500000
-12.036105 -38.067058 0.007387
34.409907 -10.795150 2.500000
-56.176144 -1.304769 0.186099
16.450503 -7.656061 2.500000
56.056389 -46.728933 3.124129
-8.037454 -20.549777 2.500000
8.977948 37.849619 -1.693051
56.971129 -7.695181 2.500000
-16.247790 8.650353 -0.133794
-50.933388 -22.058455 2.500000
55.757280 32.428740 1.971365
-19.741226 14.233903 2.500000
26.287162 39.956463 3.128683
12.562340 -43.112055 2.500000
