Robots 10
-57.973512 -40.787291 -0.133265
-12.416848 35.550458 2.500000
-39.445468 38.797201 -0.033121
-14.448619 -51.262302 2.500000
34.569993 -47.523637 -0.160361
33.746017 31.983875 2.500000
-11.630544 -38.017291 -0.138841
33.460663 -10.486288 2.500000
-55.709713 -1.064064 0.081990
16.501339 -7.742486 2.500000
56.255692 -46.226447 2.816254
-8.960991 -21.508522 2.500000
9.186031 36.754161 -1.631923
57.324503 -8.342787 2.500000
-16.474161 8.283424 -0.039686
-51.951892 -22.332293 2.500000
55.949107 31.812051 1.855234
-20.250534 13.969780 2.500000
26.009263 41.368541 2.803430
12.913654 -42.253098 2.500000
