Robots 10
-57.962089 -41.397334 0.067260
-12.192870 34.492499 2.500000
-39.228044 37.501246 0.112404
-14.306153 -51.791223 2.500000
34.371120 -47.777215 0.083500
35.005621 31.670124 2.500000
-10.860084 -38.634603 0.163362
34.790730 -10.844812 2.500000
-56.368850 -1.498856 0.124307
15.703711 -8.470453 2.500000
55.888717 -46.818914 3.108518
-9.497564 -20.364667 2.500000
9.275423 37.171380 -1.617115
57.094893 -8.253381 2.500000
-15.254450 8.778539 -0.073670
-50.316706 -22.234400 2.500000
56.307901 31.919582 1.861289
-20.640542 14.979145 2.500000
26.122994 41.474467 3.020618
13.050816 -41.983258 2.500000
