Robots 10
-57.985157 -41.865572 -0.006617
-11.538230 35.081671 2.500000
-39.435949 37.936979 -0.029576
-15.227760 -51.124417 2.500000
35.498850 -48.844311 0.138625
34.682092 32.212336 2.500000
-11.113026 -38.673994 0.105039
35.130450 -10.001411 2.500000
-54.837098 -1.058077 -0.038658
17.327811 -9.270280 2.500000
56.545357 -46.401159 2.950680
-8.103040 -20.536523 2.500000
9.050908 37.763925 -1.620611
57.759565 -8.068872 2.500000
-15.127534 8.553554 -0.081134
-51.628316 -21.360666 2.500000
55.836518 31.837539 2.059628
-20.858424 13.337659 2.500000
25.551259 40.422061 3.015500
12.707389 -43.337613 2.500000
