Robots 10
-58.014686 -40.518585 0.125618
-13.231834 35.614398 2.500000
-39.579276 39.153315 -0.029388
-14.951836 -51.313659 2.500000
34.605057 -48.825842 -0.173654
35.222638 31.441856 2.500000
-11.243329 -38.384314 0.155240
35.182727 -10.030830 2.500000
-54.681314 -0.837023 0.169686
16.917006 -8.241744 2.500000
55.619367 -46.347256 3.078116
-8.798378 -20.252385 2.500000
9.535318 37.945272 -1.579365
57.686190 -8.052604 2.500000
-15.877984 8.846057 -0.007646
-51.215346 -22.027537 2.500000
55.921514 32.203397 2.090915
-20.878771 13.987008 2.500000
26.470275 40.679634 2.859540
13.394083 -43.645077 2.500000
