Robots 10
-58.079184 -41.759863 0.077053
-13.060279 35.241240 2.500000
-39.603639 38.203691 0.082695
-14.616774 -51.358870 2.500000
35.119997 -48.858921 -0.051412
34.264445 31.036826 2.500000
-12.168537 -38.241230 -0.046554
33.880981 -10.550528 2.500000
-55.394437 -1.071556 0.050703
16.464047 -8.826267 2.500000
56.485886 -45.613901 2.834767
-9.146797 -20.011206 2.500000
8.893957 36.975359 -1.513996
58.512034 -7.631748 2.500000
-15.663564 8.838764 -0.119423
-51.244275 -21.752434 2.500000
56.569369 32.520959 1.747596
-20.584032 13.504415 2.500000
26.299582 41.097578 3.089845
14.207617 -42.952754 2.500000
