Robots 10
-57.938328 -40.810984 0.070172
-12.417188 34.362861 2.500000
-39.365336 38.193189 0.067286
-14.954512 -51.937466 2.500000
35.567986 -48.959286 -0.197039
33.515682 31.329928 2.500000
-11.843055 -38.143562 0.014840
34.041222 -9.232208 2.500000
-55.350156 -0.976194 -0.145078
17.094078 -9.193858 2.500000
55.878381 -46.233221 3.047279
-8.805246 -21.082810 2.500000
9.515562 37.236190 -1.682702
56.975857 -8.068598 2.500000
-16.069795 8.239431 -0.141021
-51.368568 -22.493794 2.500000
55.932743 32.536446 2.017061
-20.875089 13.753278 2.500000
26.420928 40.397716 3.063910
13.028316 -42.670307 2.500000
