Robots 10
-57.835629 -41.696015 -0.077592
-12.325222 34.632536 2.500000
-39.482252 38.220957 -0.094490
-13.898047 -50.692038 2.500000
34.707566 -48.368103 -0.171832
34.106127 31.334054 2.500000
-11.052511 -39.422267 -0.045988
35.002594 -10.524722 2.500000
-54.852153 -0.428699 -0.089347
15.895070 -8.421894 2.500000
55.756398 -46.403974 3.199326
-8.975733 -21.698918 2.500000
9.459988 36.966881 -1.615474
57.648461 -9.067232 2.500000
-16.083859 8.430594 -0.076952
-50.810626 -21.337670 2.500000
55.716880 32.238393 1.955803
-21.024687 14.518581 2.500000
26.026340 39.806934 3.102378
13.048370 -43.337974 2.500000
