Robots 10
25.253032 24.613189 1.906556
19.103464 35.636649 2.500000
17.278500 20.721119 1.873001
37.203388 34.461773 2.500000
31.984609 -13.496733 -2.366174
30.876655 -29.020766 2.500000
9.840778 -33.835584 0.325753
30.594698 -39.841999 2.500000
-33.499338 -10.388530 -1.127375
-26.627961 -22.224468 2.500000
-13.088590 -32.814298 2.916330
-39.116114 -29.313378 2.500000
-25.926513 7.313484 1.136142
-29.686338 39.526304 2.500000
-27.398833 21.858814 1.068316
-2.694207 25.748506 2.500000
18.904959 -3.468372 -1.345965
4.138286 -27.323462 2.500000
-2.590322 -18.800383 0.099244
5.438472 -2.700794 2.500000
