Robots 10
25.527139 23.696501 1.878987
18.032520 35.449298 2.500000
17.118145 20.097817 2.035059
36.927756 34.394180 2.500000
32.636784 -13.508314 -2.358074
30.094632 -28.865587 2.500000
8.657409 -33.803608 0.506506
31.486314 -38.617910 2.500000
-33.086762 -10.566818 -1.108067
-26.113761 -22.977749 2.500000
-12.443731 -32.993978 2.819026
-37.935282 -29.718153 2.500000
-26.018480 7.447514 1.386977
-29.538362 40.029242 2.500000
-27.526097 22.575819 1.039852
-3.117277 25.918023 2.500000
18.672904 -3.888099 -1.642939
3.227921 -26.620750 2.500000
-1.164208 -18.711146 0.149580
6.034799 -2.765517 2.500000
