Robots 10
26.003402 24.031135 2.022171
18.001148 35.479825 2.500000
17.909201 19.380205 1.997685
36.538353 34.001508 2.500000
32.239747 -14.536282 -2.381879
30.993333 -29.603477 2.500000
9.797822 -33.552655 0.459648
30.889880 -39.789406 2.500000
-32.974541 -10.973790 -1.149429
-27.603595 -23.141022 2.500000
-13.429737 -32.333779 3.093891
-38.752289 -29.618579 2.500000
-26.572059 5.949232 1.368904
-29.502270 39.857531 2.500000
-28.167468 22.092822 0.823192
-1.843921 25.780889 2.500000
19.220612 -3.559311 -1.442506
4.558977 -26.701529 2.500000
-2.830103 -18.652107 0.131167
5.376829 -2.670786 2.500000
