Robots 10
25.042888 23.800234 2.088116
18.273338 35.343826 2.500000
16.840715 20.173052 2.089956
36.678049 33.831563 2.500000
32.416166 -13.821668 -2.596433
30.070215 -28.878936 2.500000
8.943193 -33.610941 0.423094
30.747103 -39.837780 2.500000
-32.762591 -10.896218 -1.122341
-26.619581 -22.580541 2.500000
-12.063867 -32.223178 2.801075
-37.365903 -28.923196 2.500000
-25.777244 7.502769 1.297284
-28.128726 39.910918 2.500000
-27.526722 22.446545 0.854491
-2.450028 26.217205 2.500000
18.720188 -4.143909 -1.502346
4.131758 -26.387638 2.500000
-1.823307 -18.810528 0.111202
5.750812 -2.765220 2.500000
