Robots 10
25.701753 23.116336 1.954835
19.152740 35.462536 2.500000
17.666431 20.335101 1.947661
37.522361 33.058826 2.500000
31.996071 -13.895074 -2.356345
31.188808 -28.344232 2.500000
9.001049 -33.553624 0.315558
30.650002 -38.671066 2.500000
-33.808307 -10.103674 -1.156840
-26.364007 -23.084995 2.500000
-13.183136 -32.567076 2.974792
-37.273520 -28.673225 2.500000
-26.288153 6.444736 1.374286
-29.001253 39.621365 2.500000
-27.425629 21.693438 0.809079
-2.337692 26.003678 2.500000
18.359451 -4.237232 -1.552946
3.488579 -26.577776 2.500000
-1.954666 -18.968112 0.053270
5.849753 -2.844562 2.500000
