Robots 10
25.546338 23.732355 2.021112
18.938957 35.117071 2.500000
17.330229 20.532147 1.954750
36.470027 33.781237 2.500000
32.237016 -12.934851 -2.691252
30.596639 -29.188873 2.500000
10.142230 -33.831859 0.325615
31.220954 -38.406083 2.500000
-33.413795 -10.333405 -1.178872
-27.309143 -22.285592 2.500000
-13.392355 -32.908452 2.822717
-37.441553 -28.739333 2.500000
-26.425366 5.854108 1.350608
-28.999558 39.604432 2.500000
-27.196480 21.641108 0.855793
-2.489717 26.386233 2.500000
19.179530 -4.052845 -1.480399
4.031354 -26.761280 2.500000
-1.859500 -19.029346 0.073523
5.617540 -2.746131 2.500000
