Robots 10
25.091817 24.300014 2.092625
18.904062 34.888150 2.500000
18.258419 20.269407 2.079827
37.239870 33.281294 2.500000
31.773904 -13.528772 -2.486170
30.792013 -27.941078 2.500000
9.983254 -33.201479 0.353186
31.876421 -38.761319 2.500000
-33.613662 -11.064362 -1.183660
-27.166301 -23.012873 2.500000
-12.695394 -32.846691 2.815772
-38.614717 -29.655521 2.500000
-25.989916 6.721380 1.313850
-28.324337 40.116932 2.500000
-27.568430 22.685510 0.984669
-2.531035 26.271467 2.500000
18.948880 -4.251288 -1.506647
4.684499 -26.974069 2.500000
-1.683432 -18.804815 0.026413
6.148226 -2.702337 2.500000
