Robots 10
25.448539 23.061082 2.062780
18.664498 34.837862 2.500000
17.178326 20.970710 1.872039
37.179946 34.522266 2.500000
31.816811 -13.988145 -2.409173
30.408585 -29.331517 2.500000
10.081246 -33.620886 0.313811
31.396051 -39.571361 2.500000
-33.274674 -10.246998 -1.169342
-26.595129 -22.225199 2.500000
-11.875270 -33.111344 3.004264
-38.497875 -28.568641 2.500000
-26.394390 6.225983 1.414702
-29.289688 40.086255 2.500000
-27.931668 22.694892 0.968230
-2.111042 26.743981 2.500000
18.494114 -4.508256 -1.561705
4.625459 -26.187202 2.500000
-1.422158 -18.485143 0.027723
5.843308 -2.620672 2.500000
