Robots 10
25.030197 24.071373 1.929473
19.077734 35.605472 2.500000
17.931302 20.769106 1.955567
36.326439 32.940663 2.500000
31.891304 -13.152026 -2.425611
31.041583 -28.412781 2.500000
8.747957 -34.059688 0.339753
30.986143 -39.108650 2.500000
-33.152613 -10.644307 -1.041240
-26.924867 -23.020152 2.500000
-12.821458 -33.129006 2.803081
-38.167652 -28.754560 2.500000
-25.776772 7.042446 1.265563
-29.354459 38.788823 2.500000
-27.364999 21.793222 1.049804
-1.418412 26.156267 2.500000
18.637686 -4.154694 -1.527638
4.351275 -26.483191 2.500000
-1.837547 -18.716511 0.125231
5.074901 -2.324468 2.500000
