Robots 10
25.219121 24.431567 2.045448
18.860712 34.855509 2.500000
17.483240 19.886269 2.060790
36.538410 34.316544 2.500000
32.471092 -12.860372 -2.346628
31.198252 -29.429451 2.500000
8.535118 -33.917824 0.446434
31.058836 -38.296650 2.500000
-33.173884 -10.394452 -1.034232
-26.710961 -22.392396 2.500000
-12.821272 -32.594565 3.110693
-38.645477 -29.438774 2.500000
-26.277226 5.697749 1.262335
-28.121747 40.200488 2.500000
-27.543624 22.131533 0.861348
-1.523417 26.326096 2.500000
19.005697 -3.902846 -1.517106
3.272634 -26.740343 2.500000
-2.223191 -18.817084 0.084897
6.020305 -2.712107 2.500000
