Robots 10
24.685229 24.515854 1.841445
18.417147 34.883524 2.500000
17.528509 20.937147 1.835849
36.545011 33.319307 2.500000
32.688005 -13.309861 -2.560136
31.572627 -28.620930 2.500000
8.660089 -33.601372 0.302951
30.477755 -38.388549 2.500000
-33.902876 -9.740176 -1.148544
-26.553826 -21.997061 2.500000
-13.309104 -32.736948 2.885407
-37.913132 -28.359016 2.500000
-26.199694 6.651359 1.406558
-27.947382 39.896896 2.500000
-27.128596 22.039995 1.037433
-1.805673 26.368593 2.500000
18.685273 -4.685387 -1.689150
4.828703 -26.629134 2.500000
-1.350151 -18.699131 0.057002
5.337783 -2.448895 2.500000
